d.nom_localidade_fam;total;sem_bf;rt04_pct
JARDIM AMANDA;1924;1713;0.8903326403326404
JARDIM BOA ESPERANCA;334;292;0.874251497005988
JARDIM SANTA CLARA DO LAGO;315;289;0.9174603174603174
JARDIM ADELAIDE;281;265;0.9430604982206405
JARDIM NOSSA SENHORA DE FATIMA;266;247;0.9285714285714286
JARDIM NOVO ANGULO;277;243;0.8772563176895307
JARDIM CAMPOS VERDES;260;243;0.9346153846153846
JARDIM NOVA AMERICA;268;240;0.8955223880597015
VILA REAL CONTINUACAO;260;238;0.9153846153846154
JARDIM SAO SEBASTIAO;235;219;0.9319148936170213
JARDIM NOVA EUROPA;247;216;0.8744939271255061
REMANSO CAMPINEIRO;232;211;0.9094827586206896
JARDIM NOSSA SENHORA AUXILIADORA;233;210;0.9012875536480687
JARDIM NOVA HORTOLANDIA;238;208;0.8739495798319328
JARDIM SUMAREZINHO;222;194;0.8738738738738738
JARDIM SAO BENTO;201;185;0.9203980099502488
JARDIM AMANDA II;185;176;0.9513513513513514
VILA REAL;187;168;0.8983957219251337
PARQUE DO HORTO;177;160;0.903954802259887
JARDIM SAO JORGE;162;150;0.9259259259259259
JARDIM SANTA ESMERALDA;152;143;0.9407894736842105
JARDIM AMANDA 2;166;137;0.8253012048192772
PARQUE DOS PINHEIROS;137;124;0.9051094890510949
JARDIM SANTA IZABEL;136;123;0.9044117647058824
JARDIM MINDA;128;120;0.9375
PARQUE ORTOLANDIA;129;119;0.9224806201550387
JARDIM AMANDA I;124;114;0.9193548387096774
NOVO ANGULO;126;108;0.8571428571428571
VILA INEMA;105;94;0.8952380952380953
JARDIM CONCEICAO;105;92;0.8761904761904762
VILA SAO PEDRO;96;88;0.9166666666666666
JARDIM SANTIAGO;101;84;0.8316831683168316
JARDIM PRIMAVERA;100;82;0.82
JARDIM INTERLAGOS;86;79;0.9186046511627907
JARDIM AMANDA 1;86;76;0.8837209302325582
PARQUE SANTO ANDRE;81;75;0.9259259259259259
PARQUE ORESTES ONGARO;83;74;0.891566265060241
JARDIM SANTA RITA DE CASSIA;81;72;0.8888888888888888
JARDIM SANTANA;71;65;0.9154929577464789
JARDIM TERRAS DE SANTO ANTONIO;68;64;0.9411764705882353
JARDIM EVEREST;66;62;0.9393939393939394
PARQUE ORESTE ONGARO;74;62;0.8378378378378378
RESIDENCIAL JOAO LUIZ;59;59;1.0
PARQUE GABRIEL;63;58;0.9206349206349206
JARDIM AUXILIADORA;62;58;0.9354838709677419
VILA DA CONQUISTA;63;57;0.9047619047619048
PARQUE PERON;60;54;0.9
JARDIM CARMEM CRISTINA;60;53;0.8833333333333333
JARDIM MIRANTE DE SUMARE;57;53;0.9298245614035088
JARDIM BRASIL;58;51;0.8793103448275862
JARDIM NOVO CAMBUI;56;49;0.875
JARDIM SANTA CLARA DO LAGO I;47;47;1.0
JARDIM NOVO HORIZONTE;57;46;0.8070175438596491
SANTA EMILIA;46;45;0.9782608695652174
JARDIM DO LAGO;47;45;0.9574468085106383
JARDIM ROSOLEN;45;45;1.0
JARDIM ALINE;49;44;0.8979591836734694
JARDIM NOVO ESTRELA;49;43;0.8775510204081632
VILA GUEDES;54;43;0.7962962962962963
JARDIM DO BOSQUE;47;42;0.8936170212765957
PARQUE MARIA DE LOURDES;46;42;0.9130434782608695
JARDIM SAO CAMILO;45;42;0.9333333333333333
JARDIM SANTA AMELIA;46;41;0.8913043478260869
JARDIM ROSOLEM;45;41;0.9111111111111111
JARDIM SAO PEDRO;40;38;0.95
JARDIM SANTA FE;41;37;0.9024390243902439
JARDIM BOA VISTA;38;35;0.9210526315789473
JARDIM RICARDO;38;34;0.8947368421052632
RESIDENCIAL RECANTO DO SOL;37;34;0.918918918918919
JARDIM MONTE SINAI;45;34;0.7555555555555555
PARQUE SAO MIGUEL;33;33;1.0
JARDIM MALTA;39;32;0.8205128205128205
PARQUE RESIDENCIAL MARIA DE LOURDES;36;32;0.8888888888888888
VILA SAO FRANCISCO;35;32;0.9142857142857143
CHACARA RECREIO ALVORADA;33;31;0.9393939393939394
NOVA HORTOLANDIA;34;31;0.9117647058823529
ADVENTISTA CAMPINEIRO;35;30;0.8571428571428571
NUCLEO SANTA IZABEL;35;29;0.8285714285714286
PARQUE HORTOLANDIA;29;28;0.9655172413793104
RECANTO DO SOL;37;28;0.7567567567567568
JARDIM GHIRALDELLI;29;28;0.9655172413793104
JARDIM DAS COLINAS;33;28;0.8484848484848485
JARDIM SANTA LUZIA;32;27;0.84375
NOVA AMERICA;30;26;0.8666666666666667
LOTEAMENTO ADVENTISTA CAMPINEIRO;25;25;1.0
VILA AMERICA;30;25;0.8333333333333334
PARQUE ODIMAR;26;24;0.9230769230769231
JARDIM RESIDENCIAL FIRENZE;26;24;0.9230769230769231
JARDIM NOSSA SENHORA DA PENHA;24;23;0.9583333333333334
CHACARA FAZENDA COELHO;24;22;0.9166666666666666
JARDIM SANTA EMILIA;22;22;1.0
SAO SEBASTIAO;22;22;1.0
CHACARA REYMAR;25;22;0.88
CHACARAS LUZITANA;23;21;0.9130434782608695
LOTEAMENTO RECANTO DO SOL;24;20;0.8333333333333334
VILA REAL SANTISTA;20;17;0.85
JARDIM NOVA HORTOLANDIA II;16;15;0.9375
JARDIM CARMEN CRISTINA;16;15;0.9375
JARDIM VILLAGIO GHIRALDELLI;15;15;1.0
CHACARA NOVA BOA VISTA;18;14;0.7777777777777778
SANTA ESMERALDA;14;14;1.0
PARQUE TERRAS DE SANTA MARIA;15;14;0.9333333333333333
JARDIM ESTEFANIA;17;13;0.7647058823529411
CHACARAS FAZENDA COELHO;14;13;0.9285714285714286
JARDIM SANTA CLARA DO LAGO II;13;13;1.0
CHACARA LUZITANA;14;13;0.9285714285714286
LOTEAMENTO NOVO ANGULO;12;12;1.0
JARDIM NOVA HORTOLANDIA I;12;12;1.0
JARDIM MIRANTE;14;12;0.8571428571428571
PARQUE RESIDENCIAL JOAO LUIZ;11;11;1.0
JARDIM SANTA CANDIDA;13;11;0.8461538461538461
JARDIM LARANJEIRAS;11;11;1.0
CHACARAS ASSAY;10;10;1.0
JARDIM NOVA ALVORADA;13;10;0.7692307692307693
LOTEAMENTO NOVA ALVORADA;11;10;0.9090909090909091
JARDIM DAS FIGUEIRAS II;11;10;0.9090909090909091
RESIDENCIAL FURLAN;9;9;1.0
JARDIM DAS FIGUEIRAS I;9;9;1.0
JARDIM DAS LARANJEIRAS;10;8;0.8
CHACARA PLANALTO;9;8;0.8888888888888888
CHACARAS RECREIO 2000;8;8;1.0
JARDIM DAS PAINEIRAS;8;8;1.0
JARDIM NOVA ESTRELA;9;8;0.8888888888888888
JARDIM SANTA CLARA;8;8;1.0
JARDIM SAO FELIPE;8;8;1.0
LOTEAMENTO REMANSO CAMPINEIRO;8;7;0.875
MONTE SINAI;11;7;0.6363636363636364
JARDIM DO BRAZ;9;7;0.7777777777777778
JARDIM VIAGEM;8;7;0.875
JARDIM NOVO ESTRELA II;7;7;1.0
CHACARAS ACARAI;8;7;0.875
VILA IPE;8;7;0.875
CHACARAS DE RECREIO 2000;6;6;1.0
CHACARA ACARAI;7;6;0.8571428571428571
NUCLEO RESIDENCIAL FURLAN;7;6;0.8571428571428571
JARDIM DAS FIGUEIRAS 2;6;6;1.0
JARDIM SAO BENEDITO;6;6;1.0
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;7;6;0.8571428571428571
VILA REAL CONTINUCAO;6;6;1.0
JARDIM GIRASSOL;6;6;1.0
VILA CONQUISTA;5;5;1.0
JARDIM SANTO ANTONIO;5;5;1.0
CHACARAS NOVA BOA VISTA;5;5;1.0
CHACARAS HAVAI;5;5;1.0
PARQUE TERRA DE SANTA MARIA;6;5;0.8333333333333334
JARDIM NOSSA SENHORA DE LOURDES;5;5;1.0
RESIDENCIAL ANAUA;6;5;0.8333333333333334
PARQUE PINHEIROS;4;4;1.0
JARDIM STELLA;5;4;0.8
JARDIM SANTA CLARA DO LAGO 1;4;4;1.0
NUCLEO SANTA ISABEL;4;4;1.0
TAQUARA BRANCA;4;4;1.0
CHACARA ASSAY;4;4;1.0
PARQUE OLIVIO FRANCESCHINI;4;4;1.0
JARDIM SANTO ANDRE;4;4;1.0
CHACARA GROTA AZUL;5;4;0.8
JARDIM AMANADA II;4;4;1.0
CHACARAS FAZENDO COELHO;4;4;1.0
JARDIM TERRAS SANTO ANTONIO;3;3;1.0
CHACARAS REYMAR;5;3;0.6
JARDIM SANTA CLARA DO LAGO CONTINUACAO;3;3;1.0
JARDIM EVERESTE;3;3;1.0
CONDOMINIO CHACARA GROTA AZUL;3;3;1.0
JARDIM FLAMBOYANT;3;3;1.0
JARDIM AMANADA I;3;3;1.0
JD AMANDA;3;3;1.0
GOLDEN PARK RESIDENCIAL;3;3;1.0
NOVA EUROPA;3;3;1.0
SANTA RITA DE CASSIA;3;3;1.0
SANTA FE;3;3;1.0
PARQUE BELLAVILLE;3;3;1.0
JARDIM AMNADA II;4;3;0.75
JARDIM DAS FLORES;4;3;0.75
RESIDENCIAL JARDIM DE MONACO;4;3;0.75
ORESTE ONGARO;3;3;1.0
PQ ORESTES ONGARO;2;2;1.0
PARQUE ORESTE ANGORO;2;2;1.0
RECAANTO DO SOL;2;2;1.0
JARIM NOSSA SENHORA AUXILIADORA;2;2;1.0
PAQUE HORTOLANDIA;2;2;1.0
JARDIM SNATA CLARA DO LAGO;2;2;1.0
PARQEU GABRIEL;2;2;1.0
VILA REAL CONTINUAO;2;2;1.0
PARQUE SAO GABRIEL;2;2;1.0
VILAGIO GIRALDELLI;2;2;1.0
VILA REAL CONTIANUCAO;2;2;1.0
REMANSO CAMPINERO;2;2;1.0
RESIDENCIAL EUROPA;3;2;0.6666666666666666
SAO SABASTIAO;3;2;0.6666666666666666
VILA SAO FRANCISCO DE ASSIS;2;2;1.0
TERRA PRETA;2;2;1.0
LOTEAMENTO FLAMBOYANT;2;2;1.0
RESIDENCIAL MARIA DE LOURDES;3;2;0.6666666666666666
LOT NOVO ANGULO;2;2;1.0
JRDIM MIRANTE DE SUMARE;2;2;1.0
JARIDM BOA ESPERANCA;2;2;1.0
PARQUE DOS PINHEIRO;2;2;1.0
5JARDIM AMANDA 1;2;2;1.0
JARDIM ESTAFANIA;2;2;1.0
JARDIM BOA ESERANCA;2;2;1.0
JARDIM BELA VISTA;2;2;1.0
JARDIM MIRANTE SUMARE;2;2;1.0
JARDIM NOVO ANGLO;3;2;0.6666666666666666
FURLAN;2;2;1.0
JARDIM BOA ESPERENCA;2;2;1.0
JARDIM LIRIO;2;2;1.0
CHARACA PLANALTO;2;2;1.0
JARDIM NOVA BOA VISTA;2;2;1.0
JARDIM CAMPOS VERDE;2;2;1.0
CHACARAS RECREIO ALVORADA;2;2;1.0
CHACARAS PLANALTO;4;2;0.5
JARDIM AMNADA I;2;2;1.0
CHACARAS GROTA AZUL;2;2;1.0
JARDIM DA FIGUEIRAS II;2;2;1.0
JARDIM DA LARANJEIRAS;2;2;1.0
CHACARA HAVAI;2;2;1.0
CHACARA COELHO;2;2;1.0
JARDIM SANTA RITA;2;2;1.0
JARDIM FIRENZE;2;2;1.0
JARDIM DAS FIGUEIRAS 1;2;2;1.0
JARDIM EVERST;2;2;1.0
BOA ESPERANCA;2;2;1.0
JARDIM ESTRELA II;2;2;1.0
JARDIM SAO;2;2;1.0
JARDIM REMANSO CAMPINEIRO;2;2;1.0
RESIDENCIAL FIRENZE;1;1;1.0
JARDIM AMANDA 01;1;1;1.0
JARDIM AMPOS VERDE;1;1;1.0
RESIDENCAL RECANTO DO SOL;1;1;1.0
PARQUE TERRA SANTA MARIA;1;1;1.0
RECANDO DO SOL;1;1;1.0
JARDIM BOA ESPERANA;1;1;1.0
PQ GABRIEL;1;1;1.0
PARQUEDOHORTO;1;1;1.0
PARQUE VASCONCELLOS;1;1;1.0
JARDIM CARME CRISTINA;1;1;1.0
PARQUE RESIDENCIALJOAO LUIZ;1;1;1.0
JARDIM DAS FIGUEIRAS;1;1;1.0
JARDIM AMAND;1;1;1.0
RESIDENCIAL VECCON BURITI;1;1;1.0
JARDIM AMANA;1;1;1.0
JARDIM ADVENTISTA;1;1;1.0
ARDIM AMANDA II;1;1;1.0
ARDIM PRIMAVERA;1;1;1.0
VILA RELA CONITNUACAO;1;1;1.0
CAMPOS VERDES;1;1;1.0
CARMEM CRISTINA;1;1;1.0
CHACARA BOA VISTA;1;1;1.0
VILA REAL CONTINUAAO;1;1;1.0
CHACARA RECREIO;1;1;1.0
CHACARA RECREIO ALVIRADA;1;1;1.0
CHACARAS PANAINO;1;1;1.0
CHACARRA ASSAY;1;1;1.0
TERRAS SANTO ANTONIO;1;1;1.0
CONDOMINIO RESIDENCIAL VILLA FLORA;1;1;1.0
SUMAREZINHO;1;1;1.0
GOLDEN PARK RESIDENCE;1;1;1.0
SAO PEDRO;1;1;1.0
SAO JORGE;1;1;1.0
JADIM AMNADA 1;1;1;1.0
JADIM NOVO ESTRELA;1;1;1.0
JAEDIM AUXILIADORA;1;1;1.0
JANTA AMELIA;1;1;1.0
SANTA CLARA DO LAGO;1;1;1.0
SANTA AMELIA;1;1;1.0
JARDIM DO BRAS;1;1;1.0
JARD8IM SAO JORGE;1;1;1.0
RESIDENCIAL RECANTO DE SOL;1;1;1.0
RESIDENCIAL PARQUE NOVO ANGULO;1;1;1.0
JARDIM DAS FIGUIERAS II;1;1;1.0
JARDIM SAO BENTO II;1;1;1.0
PARQUE PEROM;1;1;1.0
JARDIM NOVA EUROUPA;1;1;1.0
JARDIM NOVA NOVA HORTOLANDIA;1;1;1.0
JARDIM DO LADO;1;1;1.0
JARDIM NOVO ESTRELA I;2;1;0.5
JARDIM NOVO ESYTRELA II;1;1;1.0
JARDIM RESIDENCIAL VECCON BURITI;2;1;0.5
JOAO LUIZ;1;1;1.0
JARDIM SANATA ESMERALDA;1;1;1.0
JD ALINE;2;1;0.5
JARIM AMANDA I;1;1;1.0
JARIDM MINDA;1;1;1.0
JARIDM AMANDA;1;1;1.0
JARDOM NOSSA SENHORA AUXILIADORA;1;1;1.0
JARDM SAO BENTO;1;1;1.0
JARDM SANTA FE;1;1;1.0
JARDIM SANTA CLARA DO LAGP;1;1;1.0
JARDIM VILA VERDE;1;1;1.0
JARDIM SANTA CLARAO LAGO I;1;1;1.0
JARDIM SANTA CLRA DO LAGO;1;1;1.0
JARDIM SANTA ESMERALDO;1;1;1.0
JARDIM SANTA ISABEL;1;1;1.0
JARDIM SANTA LUIZIA;1;1;1.0
JARDIM SAO SORGE;1;1;1.0
JARDIM SAO SEBATIAO;1;1;1.0
JARDIM SANTA RITA CASSIA;1;1;1.0
JARDIM SAO RICARDO;1;1;1.0
JARDIM SANTA RITA DO PINHEIROS;1;1;1.0
JARDIM SANTANA AMELIA;1;1;1.0
JARDIM NOVA EURPOPA;1;1;1.0
VL SAO FRANCISCO;1;1;1.0
LOTEMENTO ADENTISTA CAMPINEIRO;1;1;1.0
JARDIM LUZIA;1;1;1.0
PARQUE FRANCESCHINI;1;1;1.0
JARDIM MIDA;1;1;1.0
JARDIM NONO ANGULO;1;1;1.0
JARDIM INERLAGOS;1;1;1.0
ORESTES ONGARO;1;1;1.0
JARDIM NOSSA AUXILIADORA;1;1;1.0
PARQUE HORIZONTE;1;1;1.0
JARDIM NOSSA DE FATIMA;1;1;1.0
JARDIM GOLDEN PARK RESIDENCE;1;1;1.0
PARQUE MARI ADE LOURDES;1;1;1.0
JARDIM NOSSA SANHORA DE FATIMA;1;1;1.0
JARDIM NOSSA SENHORA AUXILILIADORA;1;1;1.0
JARDIM GIRASOL;2;1;0.5
PARQUE O;1;1;1.0
JARDIM NOSSA SENHORAS DE LOURDES;1;1;1.0
JARDIM NOV EUROPA;1;1;1.0
NOVA BOA VISTA;1;1;1.0
NOSSA SENHORA AUXILIADORA;1;1;1.0
PARQUE DO PINHEIROS;1;1;1.0
BELLA VILE;1;0;0.0
JARDIM FIGUEIRAS II;1;0;0.0
JARDIM SUAMREZINHO;1;0;0.0
JARDIM BOA ESPERACA;1;0;0.0
PARQUE TERRAS SANTA MARIA;1;0;0.0
JARDIM MARIA DE LOURDES;1;0;0.0
VILA FLORA;1;0;0.0
JARDIM NOVA ESTRELA II;1;0;0.0
JARDIM SANTA CLARA DO ALGO;1;0;0.0
JARDIM AUXLIADORA;1;0;0.0
JARDIM SANTA;1;0;0.0
JD NOVA EUROPA;1;0;0.0
RESIDENCIAL BELLA VILLE;1;0;0.0
JARDIM NOSSA SENHORA FATIMA;1;0;0.0
LOT REMANSO CAMPINEIRO;1;0;0.0
LOTEAMENTO JARDIM VILA VERDE;1;0;0.0
